127.0.0.1, 2014-10-16 13:47:27, GET, /tatserver/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:47:27, GET, /tatserver/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:47:27, GET, /tatserver/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/default/display, HTTP/1.1, 200, 0.035000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/css/calendar.css, HTTP/1.1, 304, 0.002000
000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/js/share.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/images/facebook.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2014-10-16 13:47:37, GET, /tatserver/static/images/gplus-32.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2014-10-16 13:48:03, POST, /tatserver/default/display, HTTP/1.1, 200, 0.036000
127.0.0.1, 2014-10-16 13:48:36, POST, /tatserver/default/display, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 13:48:36, GET, /tatserver/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:48:37, GET, /tatserver/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:48:37, GET, /tatserver/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:48:37, GET, /tatserver/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:49:25, POST, /tatserver/default/display, HTTP/1.1, 200, 0.037000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/js/share.js, HTTP/1.1, 304, 0.010000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.010000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:49:25, GET, /tatserver/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:50:09, POST, /tatserver/default/display, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/js/jquery.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/js/calendar.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/css/calendar.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/js/web2py.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/css/web2py.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 13:50:09, GET, /tatserver/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-10-16 14:12:10, POST, /tatserver/default/display, HTTP/1.1, 500, 0.278000
127.0.0.1, 2014-10-16 14:12:12, GET, /admin/default/ticket/tatserver/127.0.0.1.2014-10-16.14-12-10.fe2cd3c4-aeb6-4b6e-b2f2-0f4d1c1165d3, HTTP/1.1, 303, 0.293000
